x x.1
-1 6
-0.98014271 6
-0.97914858 6
-0.97723061 6
-0.97719373 6
-0.97526294 6
-0.97350402 6
-0.97146174 6
-0.97129624 6
-0.97077811 6
-0.97035375 6
-0.96982808 6
-0.96795715 6
-0.96638669 6
-0.96572767 6
-0.9635867 6
-0.962418 6
-0.96127914 6
-0.96069308 6
-0.95596814 6
-0.95395437 6
-0.95286041 6
-0.94922847 6
-0.94840371 6
-0.9439021 6
-0.94093491 6
-0.93991466 6
-0.93408973 6
-0.93327751 6
-0.93200921 6
-0.93168988 6
-0.93052775 6
-0.93034171 6
-0.93007147 6
-0.92959478 6
-0.92928837 6
-0.92814826 6
-0.92763016 6
-0.92608484 6
-0.92174468 6
-0.92092346 6
-0.92058588 6
-0.92026665 6
-0.91992214 6
-0.91981445 6
-0.91936465 6
-0.91583826 6
-0.91383706 6
-0.90795234 6
-0.90563983 6
-0.90324425 6
-0.90305269 6
-0.90280925 6
-0.90263498 6
-0.90195135 6
-0.90126091 6
-0.90016248 6
-0.89851886 6
-0.89622313 6
-0.88856975 6
-0.88828856 6
-0.8794575 6
-0.87912225 6
-0.87886038 6
-0.87868417 6
-0.87847647 6
-0.87444195 6
-0.87348602 6
-0.86732885 6
-0.86659883 6
-0.86633214 6
-0.86402456 6
-0.8626607 6
-0.86179167 6
-0.86144185 6
-0.86119453 6
-0.8606111 6
-0.8601774 6
-0.85825052 6
-0.85515797 6
-0.85397173 6
-0.85355658 6
-0.85277768 6
-0.85136436 6
-0.8509089 6
-0.85075436 6
-0.85074702 6
-0.85069319 6
-0.85019877 6
-0.84900617 6
-0.84842176 6
-0.84820959 6
-0.84760739 6
-0.84760012 6
-0.84691343 6
-0.84647934 6
-0.84453539 6
-0.84304058 6
-0.84109167 6
-0.84042431 6
-0.83649586 6
-0.83264069 6
-0.83252306 6
-0.83180186 6
-0.82958286 6
-0.82946888 6
-0.82920525 6
-0.8254605 6
-0.82346765 6
-0.82279405 6
-0.8220159 6
-0.82178064 6
-0.82145328 6
-0.82096639 6
-0.81867547 6
-0.81825558 6
-0.81712919 6
-0.81633809 6
-0.81622732 6
-0.81611901 6
-0.81610431 6
-0.81370667 6
-0.81275977 6
-0.81040814 6
-0.81019534 6
-0.80870953 6
-0.8076981 6
-0.80725545 6
-0.8072407 6
-0.80622598 6
-0.80611688 6
-0.80546826 6
-0.80529921 6
-0.80433822 6
-0.80368003 6
-0.80365321 6
-0.80290664 6
-0.80269259 6
-0.80231016 6
-0.80195687 6
-0.8017968 6
-0.80153822 6
-0.80152313 6
-0.80108205 6
-0.80076767 6
-0.79997367 6
-0.79892292 6
-0.79873226 6
-0.79793119 6
-0.79591114 6
-0.79566156 6
-0.79387917 6
-0.79321527 6
-0.79198263 6
-0.79154063 6
-0.78981927 6
-0.7897168 6
-0.78937939 6
-0.78850576 6
-0.78751732 6
-0.78746699 6
-0.78743256 6
-0.78710843 6
-0.78661663 6
-0.78610254 6
-0.78599433 6
-0.78595607 6
-0.78593564 6
-0.78533768 6
-0.78530822 6
-0.78493715 6
-0.78477379 6
-0.78477146 6
-0.78472573 6
-0.78457013 6
-0.78421689 6
-0.7841657 6
-0.78369022 6
-0.78367642 6
-0.78366949 6
-0.78354817 6
-0.78326174 6
-0.78320266 6
-0.78313429 6
-0.78290458 6
-0.7827974 6
-0.78261938 6
-0.78261029 6
-0.78259494 6
-0.78257225 6
-0.78248154 6
-0.78245919 6
-0.78240989 6
-0.78219178 6
-0.78200157 6
-0.78194901 6
-0.78142304 6
-0.78111239 6
-0.78086694 6
-0.78057736 6
-0.78031063 6
-0.78028944 6
-0.77988318 6
-0.77982696 6
-0.77982526 6
-0.77921502 6
-0.7789596 6
-0.7784568 6
-0.77833707 6
-0.77825934 6
-0.77825805 6
-0.77770829 6
-0.77716794 6
-0.77666739 6
-0.77643122 6
-0.77623522 6
-0.77618052 6
-0.77300644 6
-0.7722624 6
-0.77212364 6
-0.77155037 6
-0.77090201 6
-0.77076508 6
-0.77059641 6
-0.77006538 6
-0.76854767 6
-0.76756757 6
-0.76719131 6
-0.76689902 6
-0.76672527 6
-0.76666785 6
-0.762944 6
-0.7627096 6
-0.76241655 6
-0.7623036 6
-0.76051139 6
-0.75982949 6
-0.75955899 6
-0.75847788 6
-0.75835792 6
-0.75709062 6
-0.7564818 6
-0.75639614 6
-0.75638758 6
-0.75631624 6
-0.75605694 6
-0.75553459 6
-0.75484423 6
-0.75354747 6
-0.75193566 6
-0.75132334 6
-0.7502215 6
-0.75000181 6
-0.75000098 6
-0.7497454 6
-0.74957294 6
-0.74887099 6
-0.74684374 6
-0.74612006 6
-0.74592797 6
-0.74477498 6
-0.74408492 6
-0.7425623 6
-0.74167614 6
-0.7411703 6
-0.73927262 6
-0.73908719 6
-0.73896932 6
-0.73891625 6
-0.73608603 6
-0.73513139 6
-0.73459574 6
-0.73455365 6
-0.73435916 6
-0.7342894 6
-0.73422463 6
-0.73369896 6
-0.73363452 6
-0.73292523 6
-0.73282501 6
-0.73161642 6
-0.73127298 6
-0.73079267 6
-0.73059926 6
-0.73031939 6
-0.73028238 6
-0.73009764 6
-0.72991511 6
-0.72986027 6
-0.72984585 6
-0.72947308 6
-0.72935095 6
-0.72889842 6
-0.72823061 6
-0.72728207 6
-0.7270491 6
-0.72626701 6
-0.72618117 6
-0.72572344 6
-0.72560867 6
-0.72508651 6
-0.72483493 6
-0.72473807 6
-0.72404016 6
-0.72370327 6
-0.72358738 6
-0.72291345 6
-0.72288558 6
-0.72265496 6
-0.72265031 6
-0.72255793 6
-0.72211328 6
-0.72208637 6
-0.72174098 6
-0.72146374 6
-0.72141502 6
-0.72133879 6
-0.72119036 6
-0.72087311 6
-0.7205141 6
-0.71995712 6
-0.71972551 6
-0.71951076 6
-0.71948196 6
-0.71945232 6
-0.71883243 6
-0.71876456 6
-0.71866696 6
-0.71859853 6
-0.71847357 6
-0.71814113 6
-0.71733821 6
-0.71730111 6
-0.71719185 6
-0.71703979 6
-0.71686162 6
-0.71681247 6
-0.7164093 6
-0.71626377 6
-0.71621169 6
-0.71603359 6
-0.71574345 6
-0.71542286 6
-0.71534285 6
-0.71513495 6
-0.71495831 6
-0.71495685 6
-0.71464941 6
-0.71460107 6
-0.71454586 6
-0.71452086 6
-0.71449278 6
-0.71447963 6
-0.71442982 6
-0.71434686 6
-0.7143357 6
-0.71429916 6
-0.71413645 6
-0.71412237 6
-0.7141078 6
-0.71409743 6
-0.71404892 6
-0.7140117 6
-0.71353547 6
-0.71342353 6
-0.71336367 6
-0.71329826 6
-0.71324261 6
-0.7132156 6
-0.71298061 6
-0.71292095 6
-0.71267786 6
-0.71232671 6
-0.71224476 6
-0.71188642 6
-0.71156792 6
-0.71111689 6
-0.70958012 6
-0.70945808 6
-0.70897078 6
-0.70813404 6
-0.70689215 6
-0.70631895 6
-0.70604029 6
-0.70513602 6
-0.70439452 6
-0.70400724 6
-0.70327261 6
-0.7029767 6
-0.70262774 6
-0.70191516 6
-0.70085879 6
-0.69995142 6
-0.6985093 6
-0.6981382 6
-0.69809328 6
-0.69803828 6
-0.69796655 6
-0.697891 6
-0.69773713 6
-0.69772579 6
-0.69741042 6
-0.69737797 6
-0.69710924 6
-0.69708922 6
-0.69686193 6
-0.69660351 6
-0.69645873 6
-0.69630512 6
-0.69581614 6
-0.69580794 6
-0.69574465 6
-0.69533862 6
-0.69470129 6
-0.69448217 6
-0.69444863 6
-0.69429864 6
-0.69384968 6
-0.69309839 6
-0.69251357 6
-0.69217287 6
-0.69163959 6
-0.691036 6
-0.69078777 6
-0.69056446 6
-0.68939983 6
